OECD_Research_Area,Year_Range,Tech_Level,TRLxAdoption,Impact,Technology_Name,Tech_Count
Agricultural and Veterinary Sciences,1-3 years,TECH_LEVEL_2,TRL 1-2,75.43,Next-generation sequencing,1
Agricultural and Veterinary Sciences,1-3 years,TECH_LEVEL_3,TRL 7-8,70.77,Harvesting robot,1
Agricultural and Veterinary Sciences,1-3 years,TECH_LEVEL_3,TRL 7-8 Innovators,64.14,Automated manure removal system,1
Agricultural and Veterinary Sciences,3-5 years,TECH_LEVEL_3,TRL 9 Innovators,70.77,Harvesting robot,1
Agricultural and Veterinary Sciences,3-5 years,TECH_LEVEL_3,TRL 7-8 Early Adopters,64.14,Automated manure removal system,1
Agricultural and Veterinary Sciences,5-7 years,TECH_LEVEL_3,TRL 9 Early Adopters,70.77,Harvesting robot,1
Agricultural and Veterinary Sciences,5-7 years,TECH_LEVEL_3,TRL 9 Early Majority,64.14,Automated manure removal system,1
Agricultural and Veterinary Sciences,7-10 years,TECH_LEVEL_3,TRL 9 Early Majority,70.77,Harvesting robot,1
"Agriculture, forestry, fisheries",1-3 years,TECH_LEVEL_3,TRL 1-2,33.33,First-generation biofuel,1
"Agriculture, forestry, fisheries",1-3 years,TECH_LEVEL_2,TRL 3-4,53.11,Cloud ionization tower; Gene modified edible insect,2
"Agriculture, forestry, fisheries",1-3 years,TECH_LEVEL_3,TRL 3-4,78.09,Chloroplast-Enhanced Holographic Light Trapping Films,1
"Agriculture, forestry, fisheries",1-3 years,TECH_LEVEL_1,TRL 5-6,70.203,Fungi treatment; Halophytes; Plant nanobionics,3
"Agriculture, forestry, fisheries",1-3 years,TECH_LEVEL_2,TRL 5-6,67.812,Antbiotic fungi; Artificial rain; Atmosphere ionization; Biobased phase-change material; Biological process photosynthesis; CRISPR based genetic drivers; Cellular agriculture; Closed loop regenerative life support systems; De-extinction; Edge-effect based agrotechnologies; Engineered ecological life support system; Engineered microbial consortia; Enhanced Mineralization; Enhanced Photosynthesis; Epigenome editing; Field assistant robot; Fourth-generation biofuel; Fungi-Mediated Cellulosic Bioconversion Platform; Gene drive technology; Gene-Engineered Adaptive Bioreactor Arrays for Distributed Energy Generation; Gene-Engineered Mycobiomass Energy Network; Gene-engineered Photosynthetic Enhancement System; Genetically modified fish; Genetically modified fungi; Genetically modified marine species; Genetically modified rubber; Genetically modified trees; Insect processing technology; Micro-gravity agriculture; Microbial Carbon Fixation; Ocean-based Carbon Sequestration; Photosynthetic Pathway Engineering for Direct Solar Energy Capture; RNA-based Algal Productivity Enhancement; Space advanced life support food production; Space-borne agriculture; Stratospheric aerosol injection; Transgenic crop protein production; Weather modification technology,38
